Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0050613,2022-01-16,2022-01-16,,Kumonosu-j�,https://www.imdb.com/title/tt0050613/,movie,8.1,110,1957,"Drama, History",50559,1957-01-15,Akira Kurosawa
2,tt1655442,2022-01-16,2022-01-16,,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",237769,2011-05-15,Michel Hazanavicius
3,tt0043014,2022-01-16,2022-01-16,,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",214375,1950-08-04,Billy Wilder
4,tt0044741,2022-01-16,2022-01-16,,Ikiru,https://www.imdb.com/title/tt0044741/,movie,8.3,143,1952,Drama,75229,1952-10-09,Akira Kurosawa
5,tt0047478,2022-01-16,2022-01-16,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Drama",333990,1954-04-26,Akira Kurosawa
6,tt0027977,2022-01-16,2022-01-16,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",232843,1936-02-05,Charles Chaplin
7,tt0033467,2022-01-16,2022-01-16,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",428518,1941-05-01,Orson Welles
8,tt0055630,2022-01-16,2022-01-16,,Y�jinb�,https://www.imdb.com/title/tt0055630/,movie,8.2,110,1961,"Action, Drama, Thriller",119046,1961-04-25,Akira Kurosawa
9,tt0053604,2022-01-16,2022-01-16,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",175213,1960-06-15,Billy Wilder
10,tt0081398,2022-01-16,2022-01-16,,Raging Bull,https://www.imdb.com/title/tt0081398/,movie,8.2,129,1980,"Biography, Drama, Sport",340700,1980-11-13,Martin Scorsese
11,tt0109445,2022-01-16,2022-01-16,,Clerks,https://www.imdb.com/title/tt0109445/,movie,7.7,92,1994,Comedy,218219,1994-01-31,Kevin Smith
12,tt0074486,2022-01-16,2022-01-16,,Eraserhead,https://www.imdb.com/title/tt0074486/,movie,7.4,89,1977,"Fantasy, Horror",111590,1977-03-19,David Lynch
13,tt0057012,2022-01-16,2022-01-16,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,"Comedy, War",473781,1964-01-29,Stanley Kubrick
14,tt0054215,2022-01-16,2022-01-16,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",642400,1960-06-16,Alfred Hitchcock
15,tt7984734,2022-01-16,2022-01-16,,The Lighthouse,https://www.imdb.com/title/tt7984734/,movie,7.5,109,2019,"Drama, Fantasy, Horror, Mystery",184732,2019-05-19,Robert Eggers
16,tt0266697,2022-01-16,2022-01-16,,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,movie,8.1,111,2003,"Action, Crime, Drama, Thriller",1065347,2003-09-29,Quentin Tarantino
17,tt0053779,2022-01-16,2022-01-16,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",70991,1960-02-03,Federico Fellini
18,tt0057129,2022-01-16,2022-01-16,,The Haunting,https://www.imdb.com/title/tt0057129/,movie,7.5,112,1963,Horror,38533,1963-08-21,Robert Wise
19,tt0056172,2022-01-16,2022-01-16,,Lawrence of Arabia,https://www.imdb.com/title/tt0245226/,movie,7.1,,1962,,61,,Ronald Haines
20,tt0076759,2022-01-16,2022-01-16,,Star Wars,https://www.imdb.com/title/tt0076759/,movie,8.6,121,1977,"Action, Adventure, Fantasy, Sci-Fi",1298726,1977-05-25,George Lucas
21,tt0064665,2022-01-16,2022-01-16,,Midnight Cowboy,https://www.imdb.com/title/tt0064665/,movie,7.8,113,1969,Drama,107984,1969-05-25,John Schlesinger
22,tt0093870,2022-01-16,2022-01-16,,RoboCop,https://www.imdb.com/title/tt0093870/,movie,7.6,102,1987,"Action, Crime, Sci-Fi, Thriller",248034,1987-07-17,Paul Verhoeven
23,tt3235888,2022-01-16,2022-01-16,,It Follows,https://www.imdb.com/title/tt3235888/,movie,6.8,100,2014,"Horror, Mystery, Thriller",228077,2014-05-17,David Robert Mitchell
24,tt0095016,2022-01-16,2022-01-16,,Die Hard,https://www.imdb.com/title/tt0095016/,movie,8.2,132,1988,"Action, Thriller",845571,1988-07-12,John McTiernan
25,tt0108188,2022-01-16,2022-01-16,,Sonatine,https://www.imdb.com/title/tt0108188/,movie,7.5,94,1993,"Action, Comedy, Crime, Drama, Romance, Thriller",20769,1993-05-15,Takeshi Kitano
26,tt0084787,2022-01-16,2022-01-16,,The Thing,https://www.imdb.com/title/tt0084787/,movie,8.1,109,1982,"Horror, Mystery, Sci-Fi",401574,1982-06-20,John Carpenter
27,tt0910970,2022-01-16,2022-01-16,,WALL�E,https://www.imdb.com/title/tt0910970/,movie,8.4,98,2008,"Animation, Adventure, Family, Sci-Fi",1062491,2008-06-21,Andrew Stanton
28,tt3783958,2022-01-16,2022-01-16,,La La Land,https://www.imdb.com/title/tt3783958/,movie,8.0,128,2016,"Comedy, Drama, Music, Musical, Romance",551961,2016-08-31,Damien Chazelle
29,tt0317705,2022-01-16,2022-01-16,,The Incredibles,https://www.imdb.com/title/tt0317705/,movie,8.0,115,2004,"Animation, Action, Adventure, Family",692489,2004-10-27,Brad Bird
30,tt0107290,2022-01-16,2022-01-16,,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.1,127,1993,"Action, Adventure, Sci-Fi, Thriller",927106,1993-06-09,Steven Spielberg
31,tt0110357,2022-01-16,2022-01-16,,The Lion King,https://www.imdb.com/title/tt0110357/,movie,8.5,88,1994,"Animation, Adventure, Drama, Family, Musical",1003297,1994-06-12,"Rob Minkoff, Roger Allers"
32,tt1049413,2022-01-16,2022-01-16,,Up,https://www.imdb.com/title/tt1049413/,movie,8.2,96,2009,"Animation, Adventure, Comedy, Drama, Family",994327,2009-05-13,"Pete Docter, Bob Peterson"
33,tt0198781,2022-01-16,2022-01-16,,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,movie,8.1,92,2001,"Animation, Adventure, Comedy, Family, Fantasy",866662,2001-10-28,"Pete Docter, David Silverman, Lee Unkrich"
34,tt0119250,2022-01-16,2022-01-16,,Hana-bi,https://www.imdb.com/title/tt0119250/,movie,7.7,103,1997,"Crime, Drama, Romance, Thriller",29788,1997-09-03,Takeshi Kitano
35,tt0070047,2022-01-16,2022-01-16,,The Exorcist,https://www.imdb.com/title/tt0070047/,movie,8.0,122,1973,Horror,383711,1973-12-26,William Friedkin
36,tt0120663,2022-01-16,2022-01-16,,Eyes Wide Shut,https://www.imdb.com/title/tt0120663/,movie,7.4,159,1999,"Drama, Mystery, Thriller",324740,1999-07-13,Stanley Kubrick
37,tt5776858,2022-01-16,2022-01-16,,Phantom Thread,https://www.imdb.com/title/tt5776858/,movie,7.5,130,2017,"Drama, Romance",123876,2017-12-11,Paul Thomas Anderson
38,tt1375666,2022-01-16,2022-01-16,,Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",2220670,2010-07-08,Christopher Nolan
39,tt0876563,2022-01-16,2022-01-16,,Gake no ue no Ponyo,https://www.imdb.com/title/tt0876563/,movie,7.7,101,2008,"Animation, Adventure, Comedy, Family, Fantasy",136294,2008-07-19,Hayao Miyazaki
40,tt0104652,2022-01-16,2022-01-16,,Kurenai no buta,https://www.imdb.com/title/tt0104652/,movie,7.7,94,1992,"Animation, Adventure, Comedy, Fantasy",85191,1992-07-18,Hayao Miyazaki
41,tt0468820,2022-01-16,2022-01-16,,Noriko no shokutaku,https://www.imdb.com/title/tt0468820/,movie,7.1,159,2005,"Drama, Horror",4493,2005-07-04,Sion Sono
42,tt7939766,2022-01-16,2022-01-16,,I'm Thinking of Ending Things,https://www.imdb.com/title/tt7939766/,movie,6.6,134,2020,"Drama, Thriller",77781,2020-08-28,Charlie Kaufman
43,tt1201607,2022-01-16,2022-01-16,,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,movie,8.1,130,2011,"Adventure, Fantasy, Mystery",825374,2011-07-07,David Yates
44,tt0181875,2022-01-16,2022-01-16,,Almost Famous,https://www.imdb.com/title/tt0181875/,movie,7.9,122,2000,"Adventure, Comedy, Drama, Music",268650,2000-09-08,Cameron Crowe
45,tt0071315,2022-01-16,2022-01-16,,Chinatown,https://www.imdb.com/title/tt0071315/,movie,8.2,130,1974,"Drama, Mystery, Thriller",314385,1974-06-19,Roman Polanski
46,tt0047396,2022-01-16,2022-01-16,,Rear Window,https://www.imdb.com/title/tt0047396/,movie,8.5,112,1954,"Mystery, Thriller",473257,1954-08-01,Alfred Hitchcock
47,tt0062136,2022-01-16,2022-01-16,,Playtime,https://www.imdb.com/title/tt0062136/,movie,7.9,155,1967,Comedy,21638,1967-12-16,Jacques Tati
48,tt0071562,2022-01-16,2022-01-16,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1206814,1974-12-12,Francis Ford Coppola
49,tt0082971,2022-01-16,2022-01-16,,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.4,115,1981,"Action, Adventure",930541,1981-06-12,Steven Spielberg
50,tt0043274,2022-01-16,2022-01-16,,Alice in Wonderland,https://www.imdb.com/title/tt0043274/,movie,7.4,75,1951,"Animation, Adventure, Comedy, Family, Fantasy, Musical",136714,1951-07-26,"Jack Kinney, Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
51,tt0275847,2022-01-16,2022-01-16,,Lilo & Stitch,https://www.imdb.com/title/tt0275847/,movie,7.3,85,2002,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",181091,2002-06-16,"Dean DeBlois, Chris Sanders"
52,tt0097757,2022-01-16,2022-01-16,,The Little Mermaid,https://www.imdb.com/title/tt0097757/,movie,7.6,83,1989,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",251414,1989-11-13,"Ron Clements, John Musker"
53,tt0076786,2022-01-16,2022-01-16,,Suspiria,https://www.imdb.com/title/tt0076786/,movie,7.4,99,1977,Horror,89118,1977-02-01,Dario Argento
54,tt0166924,2022-01-16,2022-01-16,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",342869,2001-05-16,David Lynch
55,tt0086879,2022-01-16,2022-01-16,,Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, Music",387825,1984-09-06,Milos Forman
56,tt7131622,2022-01-16,2022-01-16,,Once Upon a Time in... Hollywood,https://www.imdb.com/title/tt7131622/,movie,7.6,161,2019,"Comedy, Drama",662774,2019-05-21,Quentin Tarantino
57,tt0060196,2022-01-16,2022-01-16,,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,movie,8.8,161,1966,"Adventure, Western",730154,1966-12-23,Sergio Leone
58,tt0120363,2022-01-16,2022-01-16,,Toy Story 2,https://www.imdb.com/title/tt0120363/,movie,7.9,92,1999,"Animation, Adventure, Comedy, Family, Fantasy",557183,1999-11-13,"John Lasseter, Lee Unkrich, Ash Brannon"
59,tt1853728,2022-01-16,2022-01-16,,Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1461059,2012-12-11,Quentin Tarantino
60,tt0072271,2022-01-16,2022-01-16,,The Texas Chainsaw Massacre,https://www.imdb.com/title/tt0324216/,movie,6.2,98,2003,"Crime, Horror",137171,2003-10-15,Marcus Nispel
61,tt1392190,2022-01-16,2022-01-16,,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,movie,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",948215,2015-05-07,George Miller
62,tt0079944,2022-01-16,2022-01-16,,Stalker,https://www.imdb.com/title/tt0079944/,movie,8.1,162,1979,"Drama, Sci-Fi",129066,1979-05-31,Andrei Tarkovsky
63,tt0234215,2022-01-16,2022-01-16,,The Matrix Reloaded,https://www.imdb.com/title/tt0234215/,movie,7.2,138,2003,"Action, Sci-Fi",574559,2003-05-07,"Lilly Wachowski, Lana Wachowski"
64,tt0077402,2022-01-16,2022-01-16,,Dawn of the Dead,https://www.imdb.com/title/tt0077402/,movie,7.9,127,1978,"Horror, Thriller",117512,1978-09-01,George A. Romero
65,tt0425112,2022-01-16,2022-01-16,,Hot Fuzz,https://www.imdb.com/title/tt0425112/,movie,7.8,121,2007,"Action, Comedy, Mystery, Thriller",489264,2007-02-13,Edgar Wright
66,tt4468740,2022-01-16,2022-01-16,,Paddington 2,https://www.imdb.com/title/tt4468740/,movie,7.8,103,2017,"Adventure, Comedy, Family, Fantasy",70741,2017-11-05,Paul King
67,tt0382932,2022-01-16,2022-01-16,,Ratatouille,https://www.imdb.com/title/tt0382932/,movie,8.0,111,2007,"Animation, Adventure, Comedy, Family, Fantasy",682904,2007-06-22,"Brad Bird, Jan Pinkava"
68,tt0381061,2022-01-16,2022-01-16,,Casino Royale,https://www.imdb.com/title/tt0381061/,movie,8.0,144,2006,"Action, Adventure, Thriller",635351,2006-11-14,Martin Campbell
69,tt0120737,2022-01-16,2022-01-16,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1765042,2001-12-10,Peter Jackson
70,tt0145487,2022-01-16,2022-01-16,,Spider-Man,https://www.imdb.com/title/tt0145487/,movie,7.3,121,2002,"Action, Adventure, Sci-Fi",771514,2002-04-30,Sam Raimi
71,tt0083658,2022-01-16,2022-01-16,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.1,117,1982,"Action, Drama, Sci-Fi, Thriller",736481,1982-06-25,Ridley Scott
72,tt0052357,2022-01-16,2022-01-16,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",388598,1958-05-22,Alfred Hitchcock
73,tt0443706,2022-01-16,2022-01-16,,Zodiac,https://www.imdb.com/title/tt0443706/,movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",510722,2007-02-28,David Fincher
74,tt0114369,2022-01-16,2022-01-16,,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1550715,1995-09-15,David Fincher
75,tt6751668,2022-01-16,2022-01-16,,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Drama, Thriller",706142,2019-05-21,Bong Joon Ho
76,tt1285016,2022-01-16,2022-01-16,,The Social Network,https://www.imdb.com/title/tt1285016/,movie,7.7,120,2010,"Biography, Drama",669270,2010-09-24,David Fincher
77,tt0096283,2022-01-16,2022-01-16,,Tonari no Totoro,https://www.imdb.com/title/tt0096283/,movie,8.2,86,1988,"Animation, Comedy, Family, Fantasy",319080,1988-04-16,Hayao Miyazaki
78,tt0119396,2022-01-16,2022-01-16,,Jackie Brown,https://www.imdb.com/title/tt0119396/,movie,7.5,154,1997,"Crime, Drama, Thriller",336497,1997-12-08,Quentin Tarantino
79,tt0078788,2022-01-16,2022-01-16,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",640622,1979-05-19,Francis Ford Coppola
80,tt2582802,2022-01-16,2022-01-16,,Whiplash,https://www.imdb.com/title/tt2582802/,movie,8.5,106,2014,"Drama, Music",784866,2014-01-16,Damien Chazelle
81,tt5649144,2022-01-16,2022-01-16,,The Florida Project,https://www.imdb.com/title/tt5649144/,movie,7.6,111,2017,Drama,107168,2017-05-22,Sean Baker
82,tt0097814,2022-01-16,2022-01-16,,Majo no takky�bin,https://www.imdb.com/title/tt0097814/,movie,7.9,103,1989,"Animation, Family, Fantasy",136519,1989-07-29,Hayao Miyazaki
83,tt0449059,2022-01-16,2022-01-16,,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,movie,7.8,101,2006,"Comedy, Drama",461367,2006-01-20,"Jonathan Dayton, Valerie Faris"
84,tt2872718,2022-01-16,2022-01-16,,Nightcrawler,https://www.imdb.com/title/tt2872718/,movie,7.8,117,2014,"Crime, Drama, Thriller",509227,2014-09-05,Dan Gilroy
85,tt0347149,2022-01-16,2022-01-16,,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",368123,2004-09-05,Hayao Miyazaki
86,tt0081505,2022-01-16,2022-01-16,,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",965368,1980-05-23,Stanley Kubrick
87,tt0120382,2022-01-16,2022-01-16,,The Truman Show,https://www.imdb.com/title/tt0120382/,movie,8.1,103,1998,"Comedy, Drama",1011932,1998-06-01,Peter Weir
88,tt0032910,2022-01-16,2022-01-16,,Pinocchio,https://www.imdb.com/title/tt0032910/,movie,7.4,88,1940,"Animation, Adventure, Comedy, Family, Fantasy, Musical",139505,1940-02-07,"Ben Sharpsteen, Jack Kinney, Hamilton Luske, Wilfred Jackson, T. Hee, Norman Ferguson, Bill Roberts"
89,tt0118715,2022-01-16,2022-01-16,,The Big Lebowski,https://www.imdb.com/title/tt0118715/,movie,8.1,117,1998,"Comedy, Crime, Sport",778556,1998-01-18,"Joel Coen, Ethan Coen"
90,tt0374900,2022-01-16,2022-01-16,,Napoleon Dynamite,https://www.imdb.com/title/tt0374900/,movie,6.9,96,2004,Comedy,210391,2004-01-17,Jared Hess
91,tt0245429,2022-01-16,2022-01-16,,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,movie,8.6,125,2001,"Animation, Adventure, Family, Fantasy, Mystery",712482,2001-07-20,Hayao Miyazaki
92,tt0103639,2022-01-16,2022-01-16,,Aladdin,https://www.imdb.com/title/tt0103639/,movie,8.0,90,1992,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",393031,1992-11-08,"Ron Clements, John Musker"
93,tt0083866,2022-01-16,2022-01-16,,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,movie,7.8,115,1982,"Adventure, Family, Sci-Fi",393554,1982-05-26,Steven Spielberg
94,tt0107688,2022-01-16,2022-01-16,,The Nightmare Before Christmas,https://www.imdb.com/title/tt0107688/,movie,8.0,76,1993,"Animation, Family, Fantasy, Musical",322943,1993-10-09,Henry Selick
95,tt0099685,2022-01-16,2022-01-16,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",1093141,1990-09-09,Martin Scorsese
96,tt0101414,2022-01-16,2022-01-16,,Beauty and the Beast,https://www.imdb.com/title/tt0101414/,movie,8.0,84,1991,"Animation, Family, Fantasy, Musical, Romance",433566,1991-09-29,"Kirk Wise, Gary Trousdale"
97,tt0266543,2022-01-16,2022-01-16,,Finding Nemo,https://www.imdb.com/title/tt0266543/,movie,8.1,100,2003,"Animation, Adventure, Comedy, Family",1000250,2003-05-18,"Andrew Stanton, Lee Unkrich"
98,tt0110912,2022-01-16,2022-01-16,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1946481,1994-05-21,Quentin Tarantino
99,tt0062622,2022-01-16,2022-01-16,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",640969,1968-04-02,Stanley Kubrick
100,tt0039211,2022-01-16,2022-01-16,,Born to Kill,https://www.imdb.com/title/tt0039211/,movie,7.2,92,1947,"Crime, Drama, Film-Noir, Thriller",5243,1947-04-30,Robert Wise
